Num|isSpam|Filename|Subject|Message
1|0|1061.2000-05-10.farmer.ham.txt|Subject: ena sales on hpl|just to update you on this project ' s status : based on a new report that scott mills ran for me from sitara , i have come up with the following counterparties as the ones to which ena is selling gas off of hpl ' s pipe . altrade transaction , l . l . c . gulf gas utilities company brazoria , city of panther pipeline , inc . central illinois light company praxair , inc . central power and light company reliant energy - entex ces - equistar chemicals , lp reliant energy - hl & p corpus christi gas marketing , lp southern union company d & h gas company , inc . texas utilities fuel company duke energy field services , inc . txu gas distribution entex gas marketing company union carbide corporation equistar chemicals , lp unit gas transmission company inc . since i ' m not sure exactly what gets entered into sitara , pat clynes suggested that i check with daren farmer to make sure that i ' m not missing something ( which i did below ) . while i am waiting for a response from him and / or mary smith , i will begin gathering the contractual volumes under the above contracts . - - - - - - - - - - - - - - - - - - - - - - forwarded by cheryl dudley / hou / ect on 05 / 10 / 2000 07 : 56 am - - - - - - - - - - - - - - - - - - - - - - - - - - - cheryl d king 05 / 08 / 2000 04 : 11 pm sent by : cheryl dudley to : daren j farmer / hou / ect @ ect , mary m smith / hou / ect @ ect cc : subject : ena sales on hpl i am working on a project for brenda herod & was wondering if one of you could tell me if i ' m on the right track & if this will get everything for which she is looking . she is trying to draft a long - term transport / storage agreement between ena & hplc which will allow ena to move the gas to their markets . in order to accomplish this , she needs to know all of the sales to customers that ena is doing off of hpl ' s pipe . i had scott mills run a report from sitara showing all ena buy / sell activity on hpl since 7 / 99 . if i eliminate the buys & the desk - to - desk deals , will this give me everything that i need ? are there buy / sell deals done with ena on hpl ' s pipe that wouldn ' t show up in sitara ? someone mentioned something about deals where hpl transports the gas on it ' s own behalf then ena sells it to a customer at that same spot - - ? ? ? ? ? do deals like that happen ? would they show up in sitara ? is there anything else that i ' m missing ? i ' m not real familiar with how some of these deals happen nowadays so am very receptive to any ideas / suggestions / help that you can offer ! ! ! thanks in advance .
2|0|0446.2000-02-18.farmer.ham.txt|Subject: 98 - 6736 & 98 - 9638 for 1997 ( ua 4 issues )|the above referenced meters need to be placed on a k . please note the information below 98 - 6736 on 089 for 5 / 97 ( activity @ this meter for 1 / 97 - 4 / 97 is on 078 - 29165 - 101 ) the referenced cpr deal # is 1567 which ends 4 / 97 . 98 - 9638 on 089 for 6 / 97 ( activity @ this meter for 1 / 97 - 11 / 97 is also on 089 ) no referenced cpr deal # . the only month that has a k placed on it is 12 / 97 and that is on the 078 - 30100 - 103 k . thanks for your help . - jackie - 3 - 9497
3|0|0067.1999-12-27.farmer.ham.txt|Subject: hpl nominations for december 28 , 1999|( see attached file : hpll 228 . xls ) - hpll 228 . xls
4|0|1553.2000-06-29.farmer.ham.txt|Subject: revised nom - kcs resources|daren , it ' s in . bob - - - - - - - - - - - - - - - - - - - - - - forwarded by robert cotten / hou / ect on 06 / 29 / 2000 06 : 22 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - enron north america corp . from : robert cotten 06 / 29 / 2000 03 : 35 pm to : daren j farmer / hou / ect @ ect cc : subject : revised nom - kcs resources daren , kcs ' orig nom was 11 , 148 at meter # 9658 . you revised it to 9 , 381 . kcs wants to revise it to 8 , 000 . do you want me to adjust ? bob
5|0|1790.2000-07-28.farmer.ham.txt|Subject: new production - sitara deals needed|daren , fyi . bob - - - - - - - - - - - - - - - - - - - - - - forwarded by robert cotten / hou / ect on 07 / 28 / 2000 01 : 24 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - vance l taylor 07 / 28 / 2000 01 : 24 pm to : robert cotten / hou / ect @ ect cc : lisa hesse / hou / ect @ ect , trisha hughes / hou / ect @ ect , heidi withers / hou / ect @ ect , hillary mack / corp / enron @ enron , susan smith / hou / ect @ ect , donald p reinhardt / hou / ect @ ect , melissa graves / hou / ect @ ect subject : new production - sitara deals needed bob , the following production is now on - line and a ticket should be created and entered into sitara based on the following : counterparty meter volumes price period hesco gathering oil co 9835 600 mmbtu / d 96 % gas daily less $ 0 . 14 6 / 10 - 7 / 31 samson lone star limited 9845 3000 mmbtu / d 100 % gas daily less $ 0 . 10 7 / 21 - 7 / 31 winn exploration co . , inc . 9847 800 mmbtu / d 100 % gas daily less $ 0 . 13 7 / 25 - 7 / 31 ( for fuel use less 3 . 35 % of del vols ) fyi , susan has created and submitted committed reserves firm tickets for the remaining term of the deal beginning with the month of august . additionally , these are producer svcs . deals and should be tracked in the im wellhead portfolio . . . attached to the gathering contract . thanks , vlt x 3 - 6353
6|0|2738.2000-11-01.farmer.ham.txt|Subject: re : another hesco issue|help . steve mauch at hesco is wanting an answer asap - - - - - - - - - - - - - - - - - - - - - - forwarded by charlene richmond / hou / ect on 11 / 01 / 2000 03 : 29 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - vance l taylor 11 / 01 / 2000 02 : 45 pm to : charlene richmond / hou / ect @ ect cc : julie meyers / hou / ect @ ect subject : re : another hesco issue charlene , this gas purchase is not a part of the wellhead portfolio but is being traded on the texas desk . i would suggest you get with darren farmer or someone on the desk . sorry i could not be of more assistance ! vlt x 3 - 6353 charlene richmond 11 / 01 / 2000 08 : 22 am to : julie meyers / hou / ect @ ect , vance l taylor / hou / ect @ ect cc : subject : another hesco issue meter 986725 for march 2000 . per hesco both traders are gone at ( hesco and enron ) and they ( hesco ) were not paid the correct price in march on the days mentioned below . hesco cannot find where the price for these days were recorded . per hesco they were underpaid by $ 32 , 101 . 57 . hesco is wanting to come to our office to have a meeting about clearing this up . it will be nice if we don ' t have to meet with them . production dates are volume price they are looking for 03 / 12 2 , 029 2 . 65 03 / 13 2 , 009 2 . 65 03 / 15 2 , 022 2 . 71 03 / 16 1 , 976 2 . 72
7|0|1969.2000-08-17.farmer.ham.txt|Subject: enron / hpl actuals for august 16 , 2000|teco tap 120 . 000 / hpl iferc ; 20 . 000 / enron ls hpl lsk ic 20 . 000 / enron
8|0|3701.2001-03-02.farmer.ham.txt|Subject: meter 1031 baytown exxon|daren - the valve for meter 1031 was not shut off in time on 3 / 1 . it flowed about 1 . 200 . could you please extend the deal for one day ( deal 589188 ) ? thanks . al
9|0|2997.2000-12-04.farmer.ham.txt|Subject: ces deal clean - up|i will need to make these changes in sitara . on some of these deals it will require me to go in and copy the ticket to a new ticket to move december 2000 forward . these changes will be made this afternoon . if you have questions or concerns please call met at x 3 - 3048 . - - - - - - - - - - - - - - - - - - - - - - forwarded by elizabeth l hernandez / hou / ect on 12 / 05 / 2000 07 : 50 am - - - - - - - - - - - - - - - - - - - - - - - - - - - cyndie balfour - flanagan @ enron 12 / 04 / 2000 05 : 21 pm to : elizabeth l hernandez / hou / ect @ ect cc : jeffrey c gossett / hou / ect @ ect , linda s bryan / hou / ect @ ect subject : ces deal clean - up listed below are deals for which we have rec ' d consent to assignment , but are still showing in sitara as ces deals . please make the necessary changes . cp name ( as showing in sitara ) ' new ' cp name deal # date consent executed ces - entergy new orleans , inc entergy new orleans , inc 140327 08 / 09 / 00 ces - entergy new orleans , inc entergy new orleans , inc 140330 08 / 09 / 00 ces - entergy new orleans , inc entergy new orleans , inc 140332 08 / 09 / 00 ces - entergy new orleans , inc entergy new orleans , inc 140334 08 / 09 / 00 ces - entergy new orleans , inc entergy new orleans , inc 140336 08 / 09 / 00 ces - entergy new orleans , inc entergy new orleans , inc 140337 08 / 09 / 00 ces - flash gas & oil southwest inc . flash gas & oil southwest inc . 263609 08 / 03 / 00 ces - hunt , lydia hunt , lydia 263650 09 / 06 / 00 ces - james e . brummage james e . brummage 220339 05 / 05 / 00 ces - lakeland , city of lakeland , city of 142035 08 / 07 / 00 ces - lakeland , city of lakeland , city of 142036 08 / 07 / 00 ces - lakeland , city of lakeland , city of 142037 08 / 07 / 00 ces - ochs bros . ochs bros . 229857 05 / 19 / 00
10|0|3578.2001-02-14.farmer.ham.txt|Subject: meter 5097|daren , do you know if there should be a deal in place for midcoast on this meter for january ? currently , it only shows ena . i understand that a deal was added in december for midcoast , but that deal was only good for dec . thanks . mike
